date,global_tilted_irradiance_forecast,temperature_2m_forecast,E_inverter_input_forecast,Price_forecast,PV_fault,Cyberattack_alert,Buy_percentage
2025-05-01 00:00:00+00:00,0.0,17.75,0.0,29.2,0,0,0.5
2025-05-01 00:15:00+00:00,0.0,17.75,0.0,29.2,0,0,0.5
2025-05-01 00:30:00+00:00,0.0,17.75,0.0,29.2,0,0,0.5
2025-05-01 00:45:00+00:00,0.0,17.75,0.0,29.2,0,0,0.5
2025-05-01 01:00:00+00:00,0.0,17.75,0.0,22.66,0,0,0.5
2025-05-01 01:15:00+00:00,0.0,17.75,0.0,22.66,0,0,0.5
2025-05-01 01:30:00+00:00,0.0,17.8,0.0,22.66,0,0,0.5
2025-05-01 01:45:00+00:00,0.0,17.8,0.0,22.66,0,0,0.5
2025-05-01 02:00:00+00:00,0.0,17.8,0.0,22.59,0,0,0.5
2025-05-01 02:15:00+00:00,0.0,17.75,0.0,22.59,0,0,0.5
2025-05-01 02:30:00+00:00,0.0,17.75,0.0,22.59,0,0,0.5
2025-05-01 02:45:00+00:00,0.0,17.7,0.0,22.59,0,0,0.5
2025-05-01 03:00:00+00:00,0.0,17.65,0.0,23.22,0,0,0.5
2025-05-01 03:15:00+00:00,0.0,17.65,0.0,23.22,0,0,0.5
2025-05-01 03:30:00+00:00,0.0,17.65,0.0,23.22,0,0,0.5
2025-05-01 03:45:00+00:00,0.0,17.65,0.0,23.22,0,0,0.5
2025-05-01 04:00:00+00:00,0.0,17.65,0.0,22.59,0,0,0.5
2025-05-01 04:15:00+00:00,0.0,17.65,0.0,22.59,0,0,0.5
2025-05-01 04:30:00+00:00,0.0,17.65,0.0,22.59,0,0,0.5
2025-05-01 04:45:00+00:00,7.999999,17.65,5508.014735294467,22.59,0,0,0.5
2025-05-01 05:00:00+00:00,30.999992,17.7,21347.952271612503,27.2,0,0,0.5
2025-05-01 05:15:00+00:00,65.99999,17.75,45459.847383910215,27.2,0,0,0.5
2025-05-01 05:30:00+00:00,110.999985,17.85,76486.69457290892,27.2,0,0,0.5
2025-05-01 05:45:00+00:00,159.00003,17.95,109607.17254882166,27.2,0,0,0.5
2025-05-01 06:00:00+00:00,207.99998,18.0,143414.9519943386,28.16,0,0,0.5
2025-05-01 06:15:00+00:00,257.0,18.0,177200.2221468724,28.16,0,0,0.5
2025-05-01 06:30:00+00:00,306.0,18.0,210985.47850950566,28.16,0,0,0.5
2025-05-01 06:45:00+00:00,358.0,18.0,246839.21995556547,28.16,0,1,0.5
2025-05-01 07:00:00+00:00,408.0,18.0,281313.9713460075,23.02,0,1,0.5
2025-05-01 07:15:00+00:00,458.0,18.0,315788.7227364496,23.02,0,1,0.5
2025-05-01 07:30:00+00:00,507.0,18.05,349645.90790136665,23.02,0,1,0.5
2025-05-01 07:45:00+00:00,555.0,18.05,382748.4790636262,23.02,0,0,0.5
2025-05-01 08:00:00+00:00,601.0,18.05,414471.7764274582,18.39,0,0,0.75
2025-05-01 08:15:00+00:00,645.0,18.05,444815.7999928628,18.39,0,0,0.75
2025-05-01 08:30:00+00:00,686.0,18.0,472993.5890768656,18.39,0,0,0.75
2025-05-01 08:45:00+00:00,726.0,17.95,500470.3915492626,18.39,0,0,0.75
2025-05-01 09:00:00+00:00,764.0,17.95,526665.8114926125,17.95,0,0,1.0
